repo_owner,repo_name,issue_number,pr_url,commit_url
godotengine,godot,95696,https://github.com/godotengine/godot/pull/95704,https://github.com/godotengine/godot/commit/84e8831b8913e38247a971d7d0540b2666edce8a
godotengine,godot,95575,https://github.com/godotengine/godot/pull/95849,https://github.com/godotengine/godot/commit/97085358ce154f34d6ab571c35529a8b0e063513
godotengine,godot,95289,https://github.com/godotengine/godot/pull/95295,https://github.com/godotengine/godot/commit/9949d5a089ce89f102d3c84a256f8933f235fc21
godotengine,godot,95104,https://github.com/godotengine/godot/pull/95225,https://github.com/godotengine/godot/commit/7934e73d78c111e5f9cfbbda4f74723733482a4e
godotengine,godot,94870,https://github.com/godotengine/godot/pull/94894,https://github.com/godotengine/godot/commit/1eb0039b6eae3f4fab75ca6bb746712a233d32cb
godotengine,godot,93321,https://github.com/godotengine/godot/pull/93502,https://github.com/godotengine/godot/commit/5774d574967d81830e8eba22ea6fe70a00761634
godotengine,godot,93104,https://github.com/godotengine/godot/pull/93147,https://github.com/godotengine/godot/commit/8ac841a026c0fdb32351ba94570df9143eb1de11
godotengine,godot,92759,https://github.com/godotengine/godot/pull/92742,https://github.com/godotengine/godot/commit/e201e5bf30bdd7ea4f515ebf8d47a70172683f7e
godotengine,godot,91918,https://github.com/godotengine/godot/pull/92152,https://github.com/godotengine/godot/commit/0f5cadfb56100a02c45637fc2db436d3c0ffcd74
godotengine,godot,91230,https://github.com/godotengine/godot/pull/91329,https://github.com/godotengine/godot/commit/f14455fd3d0a86c0726aa6311a9a62a4392d2d0e
godotengine,godot,90607,https://github.com/godotengine/godot/pull/90921,https://github.com/godotengine/godot/commit/b9225f67c85c3eab47df96b9fa1bd5a5034eae53
godotengine,godot,90120,https://github.com/godotengine/godot/pull/90508,https://github.com/godotengine/godot/commit/2bc2b52bd1464e13a10b4082f1c036ed8cadb55c
godotengine,godot,88248,https://github.com/godotengine/godot/pull/87750,https://github.com/godotengine/godot/commit/2e07dcf1e7776fa9c068a690bfc51e385ff7501b
godotengine,godot,86401,https://github.com/godotengine/godot/pull/86474,https://github.com/godotengine/godot/commit/cb0a37f61aa772341e63e8ae8ee5bece211613f8
godotengine,godot,86234,https://github.com/godotengine/godot/pull/94618,https://github.com/godotengine/godot/commit/d65e7aab76a96f254d95e03b909f183912efe562
godotengine,godot,85619,https://github.com/godotengine/godot/pull/85785,https://github.com/godotengine/godot/commit/d48524a3f4e7070cecc01de215ae4c3aa37ab504
godotengine,godot,85537,https://github.com/godotengine/godot/pull/85542,https://github.com/godotengine/godot/commit/5dd11e8eee739f2ac3bbecd93cd4862c151aebc8
godotengine,godot,85053,https://github.com/godotengine/godot/pull/85092,https://github.com/godotengine/godot/commit/c0c1efc5da393789d5c23e62f013f792e1306009
godotengine,godot,84718,https://github.com/godotengine/godot/pull/91012,https://github.com/godotengine/godot/commit/b823724e007bc3f505369b7d768373bbb8f503e6
godotengine,godot,83112,https://github.com/godotengine/godot/pull/83264,https://github.com/godotengine/godot/commit/f79b90a6c0962f398ea17f1f47b99697baad7a3e
godotengine,godot,82791,https://github.com/godotengine/godot/pull/82451,https://github.com/godotengine/godot/commit/c3d1b522549b35fb0494d3b0577fe7b5c0e04065
godotengine,godot,82769,https://github.com/godotengine/godot/pull/83096,https://github.com/godotengine/godot/commit/3620d612ba9d2b110896cad9950e4bec4684a03a
godotengine,godot,82144,https://github.com/godotengine/godot/pull/88474,https://github.com/godotengine/godot/commit/9281c441f6138f2205071a89e4f5070bc918fdff
godotengine,godot,81005,https://github.com/godotengine/godot/pull/81090,https://github.com/godotengine/godot/commit/8ac91f813f364ed3e8b4b6be1b0770124af0d1b0
godotengine,godot,80195,https://github.com/godotengine/godot/pull/89418,https://github.com/godotengine/godot/commit/77f6e35a8dc34a649f817a9c3e3c2d341fe98457
godotengine,godot,80074,https://github.com/godotengine/godot/pull/80075,https://github.com/godotengine/godot/commit/38334fdc115c27da7623d927f7b7cbc9dbe63bf5
godotengine,godot,79927,https://github.com/godotengine/godot/pull/79325,https://github.com/godotengine/godot/commit/5fb975e4a578579bd02d287e4aa3b98daa2c0e3a
godotengine,godot,79292,https://github.com/godotengine/godot/pull/79325,https://github.com/godotengine/godot/commit/5fb975e4a578579bd02d287e4aa3b98daa2c0e3a
godotengine,godot,78295,https://github.com/godotengine/godot/pull/78670,https://github.com/godotengine/godot/commit/0458ac4b8191f514766d3e894ae563002a58ecfa
godotengine,godot,77968,https://github.com/godotengine/godot/pull/80482,https://github.com/godotengine/godot/commit/bc1aef88eef7bb09d1c537bf150414c50abfa374
godotengine,godot,77600,https://github.com/godotengine/godot/pull/79865,https://github.com/godotengine/godot/commit/7c812cd7e9aaa5145f5309bb6254d0570620bec9
