repo_owner,repo_name,issue_number,pr_url,commit_url
lxqt,qterminal,156,https://github.com/lxqt/qterminal/pull/256,https://github.com/lxqt/qterminal/commit/6bd8564479eedce6bf6aabb0b37b36ad0070caa0
AMReX-Codes,amrex,3792,https://github.com/AMReX-Codes/amrex/pull/3881,https://github.com/AMReX-Codes/amrex/commit/41fae81a27a9e064e1961b77c028e1eec393aa42
mapequation,infomap,134,https://github.com/mapequation/infomap/pull/136,https://github.com/mapequation/infomap/commit/d0e70585644d1320e61df126a1307444f52cf07e
giowck,symphytum,107,https://github.com/giowck/symphytum/pull/110,https://github.com/giowck/symphytum/commit/5ff5a2fe172d89fcf9824af90031afdbcd973c6d
boostorg,json,548,https://github.com/boostorg/json/pull/569,https://github.com/boostorg/json/commit/2ebbd0cfe3e8186b2416ea0c3cb898a93d4e1f9c
ZigRazor,CXXGraph,356,https://github.com/ZigRazor/CXXGraph/pull/358,https://github.com/ZigRazor/CXXGraph/commit/ae1e2093adc94a20dea8debda34126cee50c5ea4
AMReX-Astro,Castro,2029,https://github.com/AMReX-Astro/Castro/pull/2165,https://github.com/AMReX-Astro/Castro/commit/611495522b9d3b2ca8073bbd6aa199a9d3f95c71
sandialabs,Albany,585,https://github.com/sandialabs/Albany/pull/632,https://github.com/sandialabs/Albany/commit/8682dcafc82ffe0566cf33a3d0c294361dcd8fdc
sandialabs,Albany,523,https://github.com/sandialabs/Albany/pull/524,https://github.com/sandialabs/Albany/commit/1272de6443e42c5e59e19cfee6288297c3eceb10
sandialabs,Albany,519,https://github.com/sandialabs/Albany/pull/522,https://github.com/sandialabs/Albany/commit/ac9d7d8d0c0aa90a4b1ce16888f582a96f447b8d
kokkos,kokkos-kernels,2067,https://github.com/kokkos/kokkos-kernels/pull/2073,https://github.com/kokkos/kokkos-kernels/commit/cb24a0d477a35e20eabc321985e14d720788c120
espressomd,espresso,4752,https://github.com/espressomd/espresso/pull/4757,https://github.com/espressomd/espresso/commit/39a5824477b225bc8c8656e2f603c5dc7254fd81
OpenKneeboard,OpenKneeboard,485,https://github.com/OpenKneeboard/OpenKneeboard/pull/619,https://github.com/OpenKneeboard/OpenKneeboard/commit/fde31ac7c4431938f13dbf7f0c30da32256f4053
boostorg,url,756,https://github.com/boostorg/url/pull/765,https://github.com/boostorg/url/commit/1d6b369bf73beb584b3d4c018626e92457012f5e
